"ID","Bin","TaxonRelativeAbundance","kingdom","phylum","class","order","family","genus","species","Confidence"
"Zotu3251","Bin12",2.29085043905386e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Clavicipitaceae","_Metarhizium","_Metarhizium_marquandii","0.9994620"
"Zotu3549","Bin12",2.69912324530066e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Clavicipitaceae","_Metarhizium","_Metarhizium_marquandii","0.9984233"
"Zotu1192","Bin12",0.000235560964706838,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Clavicipitaceae","_Metarhizium","_Metarhizium_marquandii","0.9993132"
"Zotu2002","Bin12",6.44678695711638e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Clavicipitaceae","_Metarhizium","_Metarhizium_marquandii","0.9996380"
"Zotu1208","Bin12",0.000111969131934532,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.7529889"
"Zotu3911","Bin12",2.55744946427034e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.8331267"
"Zotu11650","Bin12",1.96750603444935e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.8037486"
"Zotu5466","Bin12",1.30349448972243e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9998071"
"Zotu2957","Bin12",3.81254611072411e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.8326867"
"Zotu3116","Bin12",3.07949707024006e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","_Schizothecium_inaequale","0.9996900"
"Zotu4635","Bin12",2.56157015316717e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","_Schizothecium_inaequale","0.9978550"
"Zotu14512","Bin12",4.27474430615505e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.9719949"
"Zotu6821","Bin12",1.15717337786131e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9997846"
"Zotu1928","Bin12",5.7152449143489e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.7168405"
"Zotu3232","Bin12",2.64457374902269e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.8227046"
"Zotu2315","Bin12",5.14233162674627e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Schizothecium","","0.7104717"
"Zotu4212","Bin12",1.88224069201838e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9996627"
"Zotu4662","Bin12",1.57046951619482e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","","","0.9994057"
