	kingdom	phylum	class	order	family	genus	species
Otu10470	Fungi						
Otu10471	Fungi						
Otu10472	Fungi	Chytridiomycota					
Otu10473	Fungi	Chytridiomycota	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10474	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	unidentified	unidentified
Otu10475	Fungi						
Otu10476	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Melanophyllum	Melanophyllum_haematospermum
Otu10477	Fungi						
Otu10478	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10479	Fungi						
Otu10480	Fungi						
Otu10481	Fungi						
Otu10482	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
Otu10483	Fungi						
Otu10484	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Hemimycena	Hemimycena_gracilis
Otu10485	Fungi						
Otu10486	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10487	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10488	Fungi						
Otu10489	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiales_fam_Incertae_sedis	Atractospora	Atractospora_decumbens
Otu10490	Fungi						
Otu10491	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Fuscostagonospora	Fuscostagonospora_banksiae
Otu10492	Fungi	Ascomycota					
Otu10493	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10494	Fungi	Basidiomycota					
Otu10495	Fungi						
Otu10496	Fungi	Ascomycota	Sordariomycetes	Sordariales			
Otu10497	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	unidentified
Otu10498	Fungi	Basidiomycota					
Otu10499	Fungi						
Otu10500	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	
Otu10501	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Resupinatus	unidentified
Otu10502	Fungi						
Otu10503	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10504	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae		
Otu10505	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophaeosphaeria	Setophaeosphaeria_badalingensis
Otu10506	Fungi	Basidiomycota	Agaricomycetes				
Otu10507	Fungi						
Otu10508	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	unidentified
Otu10509	Fungi						
Otu10510	Fungi						
Otu10511	Fungi						
Otu10512	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10513	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	Clitocybe_trulliformis
Otu10514	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10515	Fungi						
Otu10516	Fungi						
Otu10517	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10518	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10519	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Prosthemium	Prosthemium_betulinum
Otu10520	Fungi						
Otu10521	Fungi	Ascomycota	Sordariomycetes	Xylariales			
Otu10522	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
Otu10523	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10524	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10525	Fungi	Ascomycota					
Otu10526	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10527	Fungi						
Otu10528	Fungi	Ascomycota					
Otu10529	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10530	Fungi	Ascomycota	Sordariomycetes				
Otu10531	Fungi	Chytridiomycota	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10532	Fungi	Basidiomycota	Agaricomycetes				
Otu10533	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
Otu10534	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella_nigra
Otu10535	Fungi	Ascomycota	Leotiomycetes				
Otu10536	Fungi	Ascomycota	Sordariomycetes	Xylariales			
Otu10537	Fungi						
Otu10538	Fungi						
Otu10539	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu10540	Fungi						
Otu10541	Fungi						
Otu10542	Fungi						
Otu10543	Fungi						
Otu10544	Fungi						
Otu10545	Fungi	Basidiomycota	Agaricomycetes	Auriculariales			
